PHI	LAL	Mon, Nov 27, 2023	7:00p	2024	19907	138	94	2:11	regular
UTA	NOP	Mon, Nov 27, 2023	9:00p	2024	18206	114	112	2:17	regular
LAC	DEN	Mon, Nov 27, 2023	10:30p	2024	17071	104	113	2:26	regular
BOS	CHI	Tue, Nov 28, 2023	7:30p	2024	19156	124	97	2:01	ist
BRK	TOR	Tue, Nov 28, 2023	7:30p	2024	15844	115	103	2:11	ist
CLE	ATL	Tue, Nov 28, 2023	7:30p	2024	19432	128	105	2:10	ist
MIA	MIL	Tue, Nov 28, 2023	7:30p	2024	19691	124	131	2:31	ist
NYK	CHO	Tue, Nov 28, 2023	7:30p	2024	19111	115	91	2:03	ist
MIN	OKC	Tue, Nov 28, 2023	8:00p	2024	18024	106	103	2:20	ist
DAL	HOU	Tue, Nov 28, 2023	8:30p	2024	20103	121	115	2:35	ist
SAC	GSW	Tue, Nov 28, 2023	10:00p	2024	18039	124	123	2:44	ist
DET	LAL	Wed, Nov 29, 2023	7:00p	2024	20062	107	133	2:13	regular
ORL	WAS	Wed, Nov 29, 2023	7:00p	2024	17109	139	120	2:13	regular
TOR	PHO	Wed, Nov 29, 2023	7:30p	2024	19800	112	105	2:12	regular
MEM	UTA	Wed, Nov 29, 2023	8:00p	2024	15327	105	91	2:06	regular
NOP	PHI	Wed, Nov 29, 2023	8:00p	2024	16009	124	114	2:23	regular
DEN	HOU	Wed, Nov 29, 2023	9:00p	2024	19590	134	124	2:07	regular
SAC	LAC	Wed, Nov 29, 2023	10:00p	2024	17829	117	131	2:17	regular
CLE	POR	Thu, Nov 30, 2023	7:00p	2024	19432	95	103	2:04	regular
BRK	CHO	Thu, Nov 30, 2023	7:30p	2024	16072	128	129	2:01	regular
MIA	IND	Thu, Nov 30, 2023	7:30p	2024	19604	142	132	2:33	regular
NYK	DET	Thu, Nov 30, 2023	7:30p	2024	19812	118	112	2:18	regular
CHI	MIL	Thu, Nov 30, 2023	8:00p	2024	19838	120	113	2:36	regular
MIN	UTA	Thu, Nov 30, 2023	8:00p	2024	18024	101	90	2:03	regular
OKC	LAL	Thu, Nov 30, 2023	8:00p	2024	17401	133	110	2:07	regular
SAS	ATL	Thu, Nov 30, 2023	8:00p	2024	17646	135	137	2:17	regular
GSW	LAC	Thu, Nov 30, 2023	10:00p	2024	18064	120	114	2:23	regular
ORL	WAS	Fri, Dec 1, 2023	7:00p	2024	18846	130	125	2:30	regular
BOS	PHI	Fri, Dec 1, 2023	7:30p	2024	19156	125	119	2:25	regular
DAL	MEM	Fri, Dec 1, 2023	7:30p	2024	20150	94	108	2:08	regular
TOR	NYK	Fri, Dec 1, 2023	7:30p	2024	19800	106	119	2:13	regular
NOP	SAS	Fri, Dec 1, 2023	8:00p	2024	17028	121	106	2:09	regular
PHO	DEN	Fri, Dec 1, 2023	10:00p	2024	17071	111	119	2:21	regular
LAC	GSW	Sat, Dec 2, 2023	4:00p	2024	19370	113	112	2:20	regular
CHO	MIN	Sat, Dec 2, 2023	5:00p	2024	17731	117	123	2:16	regular
BRK	ORL	Sat, Dec 2, 2023	7:00p	2024	17966	129	101	2:20	regular
DET	CLE	Sat, Dec 2, 2023	7:00p	2024	18924	101	110	2:05	regular
CHI	NOP	Sat, Dec 2, 2023	8:00p	2024	20511	124	118	2:15	regular
MIA	IND	Sat, Dec 2, 2023	8:00p	2024	19650	129	144	2:17	regular
MIL	ATL	Sat, Dec 2, 2023	8:00p	2024	17866	132	121	2:04	regular
DAL	OKC	Sat, Dec 2, 2023	9:00p	2024	20277	120	126	2:22	regular
PHO	MEM	Sat, Dec 2, 2023	9:00p	2024	17071	116	109	2:27	regular
UTA	POR	Sat, Dec 2, 2023	9:30p	2024	18206	118	113	2:28	regular
SAC	DEN	Sat, Dec 2, 2023	10:00p	2024	17829	123	117	2:13	regular
LAL	HOU	Sat, Dec 2, 2023	10:30p	2024	18997	107	97	2:17	regular
IND	BOS	Mon, Dec 4, 2023	7:30p	2024	16693	122	112	2:14	ist
SAC	NOP	Mon, Dec 4, 2023	10:00p	2024	18048	117	127	2:24	ist
MIL	NYK	Tue, Dec 5, 2023	7:30p	2024	17448	146	122	2:21	ist
LAL	PHO	Tue, Dec 5, 2023	10:00p	2024	18664	106	103	2:28	ist
CLE	ORL	Wed, Dec 6, 2023	7:00p	2024	19432	121	111	2:25	regular
DET	MEM	Wed, Dec 6, 2023	7:00p	2024	12862	102	116	1:59	regular
WAS	PHI	Wed, Dec 6, 2023	7:00p	2024	15568	126	131	2:07	regular
ATL	BRK	Wed, Dec 6, 2023	7:30p	2024	15906	113	114	2:21	regular
MIN	SAS	Wed, Dec 6, 2023	7:30p	2024	18024	102	94	2:15	regular
TOR	MIA	Wed, Dec 6, 2023	7:30p	2024	19084	103	112	2:10	regular
CHI	CHO	Wed, Dec 6, 2023	8:00p	2024	17689	111	100	2:17	regular
HOU	OKC	Wed, Dec 6, 2023	8:00p	2024	16291	110	101	2:10	regular
DAL	UTA	Wed, Dec 6, 2023	8:30p	2024	19877	147	97	2:02	regular
GSW	POR	Wed, Dec 6, 2023	10:00p	2024	18064	110	106	2:20	regular
LAC	DEN	Wed, Dec 6, 2023	10:00p	2024	16365	111	102	2:13	regular
MIL	IND	Thu, Dec 7, 2023	5:00p	2024	16837	119	128	2:27	ist
LAL	NOP	Thu, Dec 7, 2023	9:00p	2024	18017	133	89	2:12	ist
CHO	TOR	Fri, Dec 8, 2023	7:00p	2024	11526	119	116	2:17	regular
ORL	DET	Fri, Dec 8, 2023	7:00p	2024	18655	123	91	2:08	regular
PHI	ATL	Fri, Dec 8, 2023	7:00p	2024	19746	125	114	2:13	regular
BOS	NYK	Fri, Dec 8, 2023	7:30p	2024	19156	133	123	2:16	regular
BRK	WAS	Fri, Dec 8, 2023	7:30p	2024	16587	124	97	2:09	regular
MEM	MIN	Fri, Dec 8, 2023	8:00p	2024	15577	103	127	2:11	regular
MIA	CLE	Fri, Dec 8, 2023	8:00p	2024	19600	99	111	2:12	regular
OKC	GSW	Fri, Dec 8, 2023	8:00p	2024	17112	138	136	2:37	regular
SAS	CHI	Fri, Dec 8, 2023	8:30p	2024	18074	112	121	2:12	regular
DEN	HOU	Fri, Dec 8, 2023	9:00p	2024	19544	106	114	2:28	regular
PHO	SAC	Fri, Dec 8, 2023	9:00p	2024	17071	106	114	2:15	regular
