Ayo Dosunmu	PG	6-5	200	24	CHI	76	2	Illinois	2021 Rnd 2 Pick 8	United States
Jeff Dowtin	PG	6-3	177	26	PHI	12	2	Rhode Island	2020 NBA Draft, Undrafted	United States
Henri Drell	SF	6-9	215	23	CHI	4	0	Windy City Bulls	2022 NBA Draft, Undrafted	Estonia
Andre Drummond	C	6-11	279	30	CHI	79	11	UConn	2012 Rnd 1 Pick 9	United States
Chris Duarte	PG	6-5	190	26	SAC	59	2	Oregon	2021 Rnd 1 Pick 13	Canada
David Duke Jr.	SG	6-4	204	24	SAS	4	2	Providence	2021 NBA Draft, Undrafted	United States
Kris Dunn	SG	6-3	205	29	UTA	66	7	Providence	2016 Rnd 1 Pick 5	United States
Kevin Durant	SF	6-11	240	35	PHX	75	16	Texas	2007 Rnd 1 Pick 2	United States
Jalen Duren	PF	6-10	250	20	DET	61	1	Memphis	2022 Rnd 1 Pick 13	United States
Tari Eason	F	6-8	215	22	HOU	22	1	LSU	2022 Rnd 1 Pick 17	United States
Anthony Edwards	SF	6-4	225	22	MIN	79	3	Georgia	2020 Rnd 1 Pick 1	United States
Kessler Edwards	SG	6-7	203	23	SAC	54	2	Pepperdine	2021 Rnd 2 Pick 14	United States
Keon Ellis	F	6-5	175	24	SAC	57	1	Alabama	2022 NBA Draft, Undrafted	United States
Joel Embiid	C	7-0	280	29	PHI	39	9	Kansas	2014 Rnd 1 Pick 3	Cameroon
Drew Eubanks	C	6-10	245	27	PHX	75	5	Oregon State	2018 NBA Draft, Undrafted	United States
Tosan Evbuomwan	SF	6-7	217	23	DET, MEM	17	0	Princeton	2023 NBA Draft, Undrafted	England
Dante Exum	PG	6-5	214	28	DAL	55	7	Australian Institute of Sport (Australian Capital Territory)	2014 Rnd 1 Pick 5	Australia
Bruno Fernando	C	6-9	240	25	ATL	45	4	Maryland	2019 Rnd 2 Pick 4	Angola
Dorian Finney-Smith	SF	6-7	220	30	BRK	68	7	Florida	2016 NBA Draft, Undrafted	United States
Adam Flagler	G	6-3	195	24	OKC	2	0	Baylor	2023 NBA Draft, Undrafted	United States
Malachi Flynn	PG	6-1	185	25	DET, NYK, TOR	69	3	San Diego State	2020 Rnd 1 Pick 29	United States
Simone Fontecchio	SF	6-7	209	28	DET, UTH	66	1	AX Armani Exchange Milan (Italy)	2017 NBA Draft, Undrafted	Italy
Jordan Ford	PG	6-1	175	25	SAC	6	0	Saint Mary's	2020 NBA Draft, Undrafted	United States
Trent Forrest	SG	6-4	210	25	ATL	38	3	Florida State	2020 NBA Draft, Undrafted	United States
Evan Fournier	SG	6-6	205	31	DET, NYK	32	11	Poitiers Basket 86 (France)	2012 Rnd 1 Pick 20	France
De'Aaron Fox	PG	6-3	185	26	SAC	74	6	Kentucky	2017 Rnd 1 Pick 5	United States
Javon Freeman-Liberty	G	6-3	189	24	TOR	22	0	DePaul	2022 NBA Draft, Undrafted	United States
Alex Fudge	F	6-8	200	20	DAL, LAL	6	0	Florida	2023 NBA Draft, Undrafted	United States
Markelle Fultz	PG	6-4	209	25	ORL	43	6	Washington	2017 Rnd 1 Pick 1	United States
Andrew Funk	SG	6-5	200	24	CHI	5	0	Penn State	2023 NBA Draft, Undrafted	United States
Wenyen Gabriel	PF	6-9	205	26	MEM	5	5	Kentucky	2018 NBA Draft, Undrafted	South Sudan
Daniel Gafford	C	6-10	234	25	DAL, WAS	74	4	Arkansas	2019 Rnd 2 Pick 8	United States
Danilo Gallinari	SF	6-10	236	35	DET, MIL, WAS	49	15	AX Armani Exchange Milan (Italy)	2008 Rnd 1 Pick 6	Italy
Darius Garland	G	6-1	192	24	CLE	57	4	Vanderbilt	2019 Rnd 1 Pick 5	United States
Usman Garuba	C	6-8	229	21	GSW	6	2	Real Madrid (Spain)	2021 Rnd 1 Pick 23	Spain
Luka Garza	C	6-10	243	25	MIN	25	2	Iowa	2021 Rnd 2 Pick 22	United States
Kaiser Gates	SF	6-8	217	27	NOP	1	0	Xavier	2018 NBA Draft, Undrafted	United States
Keyonte George	G	6-4	185	20	UTA	75	0	Baylor	2023 Rnd 1 Pick 16	United States
Paul George	GF	6-8	220	33	LAC	74	13	Fresno State	2010 Rnd 1 Pick 10	United States
Taj Gibson	F	6-9	232	38	DET, NYK	20	14	USC	2009 Rnd 1 Pick 26	United States
Josh Giddey	G	6-8	216	21	OKC	80	2	Adelaide (Australia)	2021 Rnd 1 Pick 6	Australia
Harry Giles	PF	6-10	240	25	BRK, LAL	23	4	Duke	2017 Rnd 1 Pick 20	United States
Shai Gilgeous-Alexander	PG	6-6	195	25	OKC	75	5	Kentucky	2018 Rnd 1 Pick 11	Canada
